joining_date,job_title,required_experience,Salary,Industary_Sector,Demanding_Of_the_Job,Overall_Satisfication,Working_model,Considering_Job_Switching_in_Future,Main_Reasons
1/3/2022,Junior Software Developer,Fresh graduate,15000 - 20000,E-commerce,Stable,Neutral,Hybrid,Yes,Better salary/benefits
4/14/2024,Junior Software Developer,Fresh graduate,15000 - 20000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
4/14/2024,Junior Software Developer,Fresh graduate,15000 - 20000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
1/6/2004,Student,Less than 1 years,Less than 15000,Technology,Decreasing,Very dissatisfied,Remote,Yes,Better salary/benefits
6/1/2023,Data Analyst,More than 1 years,15000 - 20000,E-commerce,Stable,Neutral,On Site,Yes,Seeking better work-life balance
3/8/2022,Senior Software Developer,More than 1 years,40000 - 50000,Technology,Stable,Satisfied,Remote,No,I am happy with my work role
4/11/2024,Junior Software Developer,Less than 1 years,30000 - 40000,E-commerce,Stable,Neutral,On Site,Yes,Better salary/benefits
4/14/2024,Junior Software Developer,Fresh graduate,15000 - 20000,E-commerce,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
4/14/2024,Junior Software Developer,Less than 1 years,15000 - 20000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
4/14/2024,Student,Fresh graduate,Less than 15000,Healthcare,Increasing,Neutral,On Site,Yes,Better salary/benefits
11/20/2023,Junior Software Developer,Fresh graduate,20000 - 30000,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
3/7/2024,Data Analyst,Fresh graduate,20000 - 30000,Finance,Stable,Satisfied,Remote,Yes,Better salary/benefits
3/2/2025,Junior Software Developer,Less than 1 years,30000 - 40000,Technology,Increasing,Satisfied,Hybrid,Yes,Better salary/benefits
1/11/2024,Data Analyst,Fresh graduate,15000 - 20000,Finance,Stable,Neutral,Remote,Yes,Career advancement opportunities
1/1/2024,Junior Software Developer,Fresh graduate,15000 - 20000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
1/1/2024,Junior Software Developer,Fresh graduate,15000 - 20000,Technology,Increasing,Dissatisfied,On Site,Yes,Seeking better work-life balance
1/1/2022,jr. ML Engineer,More than 1 years,40000 - 50000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
6/1/2023,Junior Software Engineer,More than 1 years,30000 - 40000,E-commerce,Stable,Satisfied,On Site,No,I am happy with my work role
1/2/2024,Junior Software Developer,Less than 1 years,15000 - 20000,Technology,Stable,Neutral,Hybrid,Yes,Better salary/benefits
4/14/2024,Junior Software Engineer,Fresh graduate,Less than 15000,Technology,Stable,Dissatisfied,On Site,Yes,Career advancement opportunities
4/14/2024,Students,Fresh graduate,Less than 15000,Technology,Decreasing,Dissatisfied,On Site,Yes,Better salary/benefits
4/1/2023,Data Analyst,More than 1 years,Less than 15000,E-commerce,Increasing,Neutral,Hybrid,Yes,Career advancement opportunities
12/2/2020,Sr. ML Engineer,More then 3 years,50000 - 60000,Technology,Increasing,Satisfied,On Site,Yes,Career advancement opportunities
2/1/2017,Senior Software Engineer,More then 4 years,60000 - 70000,E-commerce,Stable,Satisfied,On Site,Yes,Seeking better work-life balance
12/15/2022,Junior Software Engineer,Less than 2 years,30000 - 40000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
6/30/2017,Senior Software Engineer,More then 5 years,80000 - 90000,Technology,Stable,Satisfied,On Site,Yes,Seeking better work-life balance
6/1/2022,jr. ML Engineer,More than 1 years,20000 - 30000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
12/5/2021,jr. ML Engineer,More than 2 years,30000 - 40000,E-commerce,Increasing,Dissatisfied,On Site,Yes,Dissatisfaction with previous job role/environment
11/22/2022,Junior Software Engineer,Less than 2 years,20000 - 30000,Technology,Stable,Very dissatisfied,On Site,Yes,Dissatisfaction with previous job role/environment
3/5/2020,Senior Software Engineer,More then 5 years,100000 -120000,Technology,Stable,Satisfied,On Site,Yes,Relocation/move to a different city
3/5/2023,Data Analyst,Fresh graduate,20000 - 30000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
12/31/2023,jr. ML Engineer,Fresh graduate,20000 - 30000,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
4/1/2019,Data Scientist,More then 3 years,30000 - 40000,Finance,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
7/7/2019,Data Scientist,More then 4 years,30000 - 40000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
8/2/2020,Cybersecurity Specialist,More then 3 years,40000 - 50000,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
4/3/2022,Software QA Engineer,Less than 1 years,20000 - 30000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
2/1/2020,Software Engineer,More then 4 years,50000 - 60000,Technology,Increasing,Satisfied,On Site,Yes,Career advancement opportunities
6/4/2023,Junior Software Engineer,Less than 1 years,20000 - 30000,E-commerce,Increasing,Neutral,On Site,Yes,Better salary/benefits
7/4/2021,Senior Software Engineer,More than 7 years,90000 - 100000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
7/2/2023,Jr. Software QA Engineer,Less than 1 years,20000 - 30000,Technology,Stable,Satisfied,On Site,Yes,Better salary/benefits
3/1/2020,CEO,More than 8 years,1000000,Technology,Increasing,Satisfied,Hybrid,No,I am happy with my work role
2/1/2021,UI-UX Designer,More than 2 years,50000 - 60000,Technology,Increasing,Satisfied,Hybrid,No,I am happy with my work role
3/3/2024,Cybersecurity Specialist,Fresh graduate,40000 - 50000,Technology,Increasing,Very satisfied,On Site,Yes,Better salary/benefits
7/2/2023,Junior Software Engineer,Fresh graduate,20000 - 30000,Technology,Stable,Satisfied,On Site,Yes,Better salary/benefits
1/1/2018,Senior Software Engineer,More than 8 years,120000-150000,Technology,Increasing,Satisfied,Hybrid,Yes,Relocation/move to a different city
11/1/2022,UI-UX Designer,More than 1 years,15000 - 20000,E-commerce,Stable,Very dissatisfied,On Site,Yes,Dissatisfaction with previous job role/environment
