serial_no,joining_date,job_title,required_experience,Salary,Industary_Sector,Demanding_Of_the_Job,Overall_Satisfication,Working_model,Considering_Job_Switching_in_Future,Main_Reasons
0,12/10/2023,Junior Software Developer (Backend),Fresh graduate,19000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
1,03/01/2022,Data Scientist,More than 2 years,50000,environmental engineering,Stable,Satisfied,Remote,Yes,Better salary/benefits
2,02/06/2022,Data Scientist,More than 2 years,115000,Travel and Tourism,Stable,Satisfied,On Site,Yes,"Career Development, Salary andBenefits"
3,01/03/2021,Senior Software Engineer (Backend),More than 2 years,200000,Technology,Increasing,Very Satisfied,On Site,No,I am happy with my work role
4,03/08/2021,Software Developer (Backend),More than 2 years,47000,Finance,Stable,Satisfied,On Site,Yes,Seeking better work-life balance
5,02/07/2021,Game Developer,More than 2 years,90000,Gamming,Increasing,Satisfied,Hybrid,Yes,Better salary/benefits
6,04/03/2022,IT Support Engineer,Less than 2 years,20000,Technology,Not Sure,Dissatisfied,On Site,Yes,"Career Development, Salary andBenefits"
7,05/07/2022,Software Developer (Backend),More than 2 years,47000,Technology,increasing,Neutral,On Site,Yes,Better salary/benefits
8,10/04/2023,Software Developer (Frontend),Less than 2 years,45000,Finance,Stable,Satisfied,On Site,Yes,Seeking better work-life balance
9,05/05/2021,Software Developer (Frontend),More than 2 years,50000,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
10,04/04/2021,Senior Software Developer (Frontend),More than 2 years,70000,Travel and Tourism,increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
11,08/08/2023,Junior Software Developer (Backend),Less than 2 years,52250,Technology,increasing,Satisfied,On Site,Yes,Career advancement opportunities
12,09/06/2022,Game Developer,More than 2 years,50000,Gamming,increasing,Satisfied,On Site,Yes,Seeking better work-life balance
13,11/02/2021,Software Developer (Backend),More than 2 years,43000,Technology,increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
14,06/04/2020,Database Administrator (DBA),More than 3 years,100000,Technology,Stable,Satisfied,On Site,Yes,Better salary/benefits
15,01/05/2020,Data Analyst,More than 3 years,50000,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
16,04/14/2022,Junior Software Developer (Backend),More than 2 years,45000,Technology,increasing,Neutral,On Site,Yes,Career advancement opportunities
17,01/02/2023,Software Quality Assurance Engineer,Less than 2 years,35000,Retail,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
18,03/08/2023,Software Quality Assurance Engineer,Less than 2 years,52000,Technology,Increasing,Satisfied,On Site,Yes,Relocation/move to a different city
19,09/06/2020,Full Stack Developer,More than 3 years,60000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
20,07/03/2022,DevOps Engineer,More than 2 years,100000,Technology,Increasing,Satisfied,Remote,Yes,Career advancement opportunities
21,01/04/2021,Full Stack Developer,More than 4 years,100000,Technology,Stable,Satisfied,On Site,Yes,Career advancement opportunities
22,10/02/2022,Software Developer ( Frontend),More than 2 years,30000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
23,02/04/2024,Kernel Developer,Fresh graduate,5000,Finance,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
24,02/01/2022,DevOps Engineer,More than 2 years,100000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
25,11/08/2023,Software Developer (Backend),Less than 2 years,40000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
26,12/03/2024,Data Scientist,Fresh graduate,20500,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
27,11/06/2023,Software Developer (Backend),Less than 2 years,30000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
28,06/09/2021,Cloud Engineer,More than 3 years,72000,Technology,Increasing,Satisfied,On Site,Yes,Seeking better work-life balance
29,04/05/2022,Web Developer,More than 2 years,45000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
30,03/07/2023,Web Developer,Less than 2 years,45000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
31,09/10/2023,Web Developer,Less than 2 years,45000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
32,04/04/2021,Software Engineer (Backend),More than 3 years,80000,Finance,Increasing,Satisfied,On Site,Yes,Better salary/benefits
33,07/03/2023,Web Developer,Less than 2 years,42000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
34,02/09/2023,Full Stack Developer,Less than 2 years,65000,Technology,Increasing,Neutral,Remote,Yes,Seeking better work-life balance
35,05/24/2020,Software Developer (Frontend),More than 3 years,90000,Technology,Increasing,Satisfied,On Site,Yes,Career advancement opportunities
36,06/08/2022,Full Stack Developer,More than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
37,11/01/2023,Technical Project Manager,Less than 2 years,45000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
38,04/03/2024,Junior Software Developer (Backend),Fresh graduate,15000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
39,06/02/2024,Software Engineer (Backend),Fresh graduate,41000,Technology,Increasing,Very Satisfied,On Site,No,I am happy with my work role
